anime_id,name,type,episodes,rating
10995,Ganbare!! Nattou-san,TV,4,5.75
29800,Urameshi Denwa,Movie,1,4.02
23721,Carino Coni,TV,26,6.93
29491,Kappa no Suribachi,Movie,1,5.0
34051,Akiba&#039;s Trip The Animation,,Unknown,
33074,Lupin III (2015) Specials,Special,2,7.34
3475,Muramasa,Movie,1,6.39
539,Tenchi Muyou! Ryououki,OVA,6,7.77
6904,Hellsing I: Digest for Freaks,OVA,1,7.86
2842,Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,Special,1,6.63
3235,Magma Taishi,OVA,13,5.98
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,ONA,1,4.31
1075,Netrun-mon the Movie,OVA,1,5.42
29955,Insomniac,Music,1,5.51
32298,Nakanaori,ONA,1,4.85
32667,Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,OVA,4,7.24
4365,"Hitou Meguri The Animation: Wakaokami, Rachiru",OVA,1,6.28
2928,.hack//G.U. Returner,OVA,1,6.91
5342,Asura Cryin&#039;,TV,13,7.1
4962,Rokumon Tengai Mon Colle Knights,TV,51,6.63
17879,Tamako Market Specials,Special,6,6.29
20919,Diabolik Lovers Recap,Special,1,5.47
31700,Xiao Taiji,TV,14,5.86
22119,PeroPero☆Teacher,OVA,3,6.38
14023,R²: Rise R to the Second Power,Music,1,5.39
6270,Neko Machi,OVA,1,6.6
4946,Angel Blade: Cut Scene,Special,1,6.39
2128,Yuusha Raideen,TV,50,6.87
7082,Shugo Chara! Party!,TV,25,6.71
7528,Kujira (1952),Movie,1,5.48
18703,Star Dust,OVA,1,5.26
114,Sakigake!! Cromartie Koukou,TV,26,8.02
20707,&quot;0&quot;,Music,1,5.06
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,OVA,1,6.67
9343,Bousou Sengokushi,OVA,2,5.71
29235,Ninja Hattori-kun Plus Perman: Chounouryoku Wars,Movie,1,6.04
8079,Tamala 2010: A Punk Cat in Space OVA,OVA,2,6.44
1350,Parasite Dolls,OVA,3,6.69
13231,Metal Fight Beyblade Zero G,TV,38,6.59
16399,Jeonja Ingan 337,Movie,1,4.54
21953,Sore Ike! Anpanman: Horrorman to Hora Horako,Movie,1,5.71
1414,Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,Special,1,7.28
2998,Hi no Tori: Uchuu-hen,OVA,1,7.19
30764,Jibun no Mune ni te wo Atete,OVA,1,4.88
21829,Fella Pure: Mitarashi-san Chi no Jijou The Animation,OVA,1,7.52
15843,Koiito Kinenbi The Animation,OVA,2,7.75
1992,Chou Kousoku Gran Doll,OVA,3,5.86
2580,Tsukuyomi: Moon Phase Special,Special,1,6.8
3981,Shokuzai no Kyoushitsu,OVA,2,5.42
30355,Wakaba*Girl,TV,13,7.01
23665,Renai Fuyou Gakuha The Animation,OVA,1,6.85
3136,Ochamegami Monogatari: Korokoro Pollon,TV,46,7.13
19311,Turuturutu Narongi,TV,52,6.25
2428,Tanpen Unico: Kuroi Kumo to Shiroi Hane,Movie,1,6.54
4813,Lolita Anime,OVA,6,5.86
21333,Kazoku no Hanashi,ONA,1,6.92
34136,Orange: Mirai,Movie,1,7.56
23259,Gundam: G no Reconguista,TV,26,5.86
24023,Project758,,Unknown,
2903,Sakigake!! Otokojuku,TV,34,7.51
949,Top wo Nerae! Gunbuster,OVA,6,7.97
30137,Big Order,OVA,1,6.18
9613,Big X,TV,59,6.46
7768,Tantei Opera Milky Holmes,TV,12,7.04
16347,Usavich V,TV,13,6.62
