Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,26,1,28.0,0,1-2 Year,No,35566.0,124.0,284,0
Male,25,1,29.0,1,< 1 Year,No,37498.0,152.0,95,0
Male,70,1,28.0,1,1-2 Year,No,67473.0,26.0,85,0
Male,29,1,17.0,1,< 1 Year,No,31468.0,152.0,14,0
Female,49,1,48.0,0,1-2 Year,Yes,2630.0,15.0,193,0
Female,45,1,29.0,1,1-2 Year,No,68549.0,124.0,261,0
Female,46,1,11.0,1,1-2 Year,No,29516.0,26.0,18,0
Male,23,1,6.0,1,< 1 Year,No,27363.0,152.0,295,0
Male,59,1,46.0,0,> 2 Years,Yes,32968.0,124.0,72,0
Male,28,1,15.0,1,< 1 Year,Yes,22274.0,152.0,176,0
Male,61,1,33.0,0,1-2 Year,Yes,31356.0,26.0,241,0
Male,69,1,8.0,1,1-2 Year,No,29077.0,124.0,67,0
Male,40,1,28.0,0,1-2 Year,Yes,28326.0,124.0,125,0
Male,22,1,41.0,1,< 1 Year,No,23040.0,152.0,31,0
Female,23,1,41.0,1,< 1 Year,No,33311.0,152.0,165,0
Female,25,1,29.0,1,< 1 Year,No,30417.0,152.0,57,0
Female,23,1,2.0,1,< 1 Year,No,31130.0,152.0,221,0
Female,25,1,28.0,0,< 1 Year,Yes,32167.0,152.0,127,0
Male,66,1,41.0,1,1-2 Year,No,32659.0,124.0,260,0
Female,27,1,3.0,1,< 1 Year,No,26950.0,152.0,77,0
Male,41,1,28.0,1,1-2 Year,No,20629.0,55.0,123,0
Female,32,1,3.0,0,< 1 Year,Yes,44739.0,152.0,123,0
Male,24,1,36.0,0,< 1 Year,Yes,28612.0,151.0,86,0
Female,52,1,29.0,0,1-2 Year,Yes,2630.0,26.0,10,0
Male,61,1,46.0,0,1-2 Year,Yes,33130.0,26.0,133,0
Male,29,1,30.0,1,< 1 Year,No,28157.0,152.0,248,0
Female,60,1,30.0,1,1-2 Year,No,24287.0,152.0,91,0
Male,63,1,8.0,0,1-2 Year,Yes,73948.0,26.0,245,0
Female,38,1,28.0,1,1-2 Year,No,33784.0,26.0,18,0
Female,28,1,6.0,1,< 1 Year,No,17959.0,152.0,53,0
Male,22,1,33.0,1,< 1 Year,No,34675.0,152.0,219,0
Female,32,1,39.0,1,1-2 Year,No,29308.0,124.0,283,0
Male,43,1,20.0,0,1-2 Year,Yes,2630.0,133.0,60,0
Male,43,1,38.0,1,1-2 Year,Yes,34059.0,124.0,204,0
Male,23,1,8.0,0,< 1 Year,No,39408.0,152.0,119,0
Male,21,1,26.0,0,< 1 Year,Yes,31739.0,160.0,80,0
